noun_hash,noun_name,attr_hashes,attr_names,count
0x00000A89,,0x001CF950,CSLOB,1
0x00001132,,0x001CF961,TSLOB,1
0x00000EAE,,0x001CF961,TSLOB,1
0x00000DC3,,0x001CF9E7,SXLOB,1
0x00000DC6,,0x001CFA02,SYLOB,1
0x00000D4B,,0x001CFA6A,OBMOB,1
0x00000234,,0x001CFB84;0x001CFB89, MMOB;EMMOB,2
0x00001020,,0x001CFB97,SMMOB,1
0x00000C4C,,0x001CFB98,TMMOB,1
0x00000665,,0x001CFBB3,TNMOB,1
0x00000C9A,,0x001CFBDA,EPMOB,1
0x00000925,,0x001CFBE7,RPMOB,1
0x00001129,,0x001CFBE9,TPMOB,1
0x00000758,,0x001CFC3A,TSMOB,1
0x00000EAF,,0x001CFC3A,TSMOB,1
0x0000083B,,0x001CFC65,IUMOB,1
0x00001029,,0x001CFC6F,SUMOB,1
0x00000591,,0x001CFD26,MANOB,1
0x00000E94,,0x001CFD2B,RANOB,1
0x00000F62,,0x001CFD2D,TANOB,1
0x00000739,,0x001CFD46,RBNOB,1
0x000004A4,,0x001CFD53,DCNOB,1
0x000000A1,,0x001CFD6A;0x001CFD73, DNOB;IDNOB,2
0x00000EDE,,0x001CFD6F,EDNOB,1
0x00000E56,,0x001CFD71,GDNOB,1
0x00000E3F,,0x001CFE7D,ENNOB,1
0x000007AB,,0x001CFE7D,ENNOB,1
0x000004DC,,0x001CFE7D,ENNOB,1
0x00000A87,,0x001CFE7D,ENNOB,1
0x00000918,,0x001CFE8A,RNNOB,1
0x0000063A,,0x001CFE8B,SNNOB,1
0x00000F04,,0x001CFF08,ISNOB,1
0x00000DD5,,0x001CFF14,USNOB,1
0x00000741,,0x001CFF2C,RTNOB,1
0x00000E0A,,0x001CFF33,YTNOB,1
0x000001C0,,0x001D03A3;0x001D03A8, IPOB;EIPOB,2
0x0000077A,,0x001D0557,DYPOB,1
0x00000056,,0x001D087D;0x001D0889, AROB;LAROB,2
0x00000E55,,0x001D08BA,GCROB,1
0x00000CC1,,0x001D08C2,OCROB,1
0x000010A8,,0x001D09F1,UNROB,1
0x00000C5E,,0x001D09F1,UNROB,1
0x00000F45,,0x001D0A57,ORROB,1
0x00000A82,,0x001D0A5D,URROB,1
0x00000A2F,,0x001D0A7F,ATROB,1
0x00000EE9,,0x001D0D5C,ETSOB,1
0x00000293,,0x001D1267;0x001D127B, NUOB;TNUOB,2
0x00000296,,0x001D1819;0x001D181E, NWOB;ENWOB,2
0x0000019A,,0x001D25D3,DIAPB,1
0x00000326,,0x001D26C2;0x001D26C3, RAPB;ARAPB,2
0x00000F64,,0x001D26D6,TRAPB,1
0x00000259,,0x001D31BA, NEPB,1
0x0000002F,,0x001D3334;0x001D3346, AFPB;RAFPB,2
0x000002AE,,0x001D45C4;0x001D45D8, OLPB;TOLPB,2
0x0000013F,,0x001D4D5C;0x001D4D62, FOPB;FFOPB,2
0x000010EA,,0x001D4D70,TFOPB,1
0x000003A0,,0x001D4EBB;0x001D4EC4, SOPB;ISOPB,2
0x000002C7,,0x001D56DA;0x001D56EA, ORPB;PORPB,2
0x0000021B,,0x001D5F14;0x001D5F20, LUPB;LLUPB,2
0x000003FC,,0x001D5FEC;0x001D6003, TUPB;WTUPB,2
0x00000A58,,0x001DC47D,NACRB,1
0x000006AE,,0x001DC5AF,WLCRB,1
0x0000044E,,0x001DC6F7, YCRB,1
0x00000951,,0x001DC75C,TADRB,1
0x000007BD,,0x001DCA2F,NAERB,1
0x00000116,,0x001DCAA8;0x001DCAAD, FERB;EFERB,2
0x00000EB7,,0x001DCCA2,TXERB,1
0x00000030,,0x001DCCDF;0x001DCCFA;0x001DCD0C,  FRB; AFRB;RAFRB,3
0x00000D0C,,0x001DD6EA,FNIRB,1
0x000003D5,,0x001DD786;0x001DD78B, TIRB;ETIRB,2
0x00000F57,,0x001DF27E,SESRB,1
0x00000168,,0x001DF286, FSRB,1
0x00000E47,,0x001DF99C,ESURB,1
0x00000644,,0x001E18FD,SSESB,1
0x00000601,,0x001E1A0A,RBFSB,1
0x000010DA,,0x001E1CE0,OBGSB,1
0x00000464,,0x001E250B;0x001E2510, ZISB;EZISB,2
0x0000004D,,0x001E3657;0x001E365A, APSB;CAPSB,2
0x000010E4,,0x001E366B,TAPSB,1
0x0000007F,,0x001E368D, CPSB,1
0x000000E2,,0x001E36C3;0x001E36C6, EPSB;CEPSB,2
0x0000005D,,0x001E41BB;0x001E41C9, ATSB;NATSB,2
0x00000E3E,,0x001E4304,EMTSB,1
0x00000CCD,,0x001E4311,RMTSB,1
0x0000036A,,0x001E4386;0x001E438B, RTSB;ERTSB,2
0x00000985,,0x001E6005,ERCTB,1
0x00000DC9,,0x001E6C86,TAHTB,1
0x00000D09,,0x001E6CAE,FCHTB,1
0x000007AF,,0x001E6CAE,FCHTB,1
0x00000DCB,,0x001E6CBC,TCHTB,1
0x00000B18,,0x001E6D4D,CIHTB,1
0x000004B1,,0x001E6D4E,DIHTB,1
0x00000EFC,,0x001E6DA4,ILHTB,1
0x00000EC9,,0x001E6DB7,AMHTB,1
0x00000997,,0x001E6E42,ERHTB,1
0x00000B70,,0x001E6E5D,ESHTB,1
0x00001032,,0x001E6E6C,TSHTB,1
0x00000752,,0x001E6E6C,TSHTB,1
0x000010C9,,0x001E6E78,ETHTB,1
0x00000BAE,,0x001E6E82,OTHTB,1
0x00000AE2,,0x001E6ED0,LWHTB,1
0x000004DF,,0x001E8D5F,EPSTB,1
0x000005F5,,0x001E9136,PYTTB,1
0x00000400,,0x001E9C03, TXTB,1
0x00000061,,0x001E9CDB;0x001E9CEF, AYTB;TAYTB,2
0x00000106,,0x001E9D47;0x001E9D55, EYTB;NEYTB,2
0x000002D0,,0x001E9E55;0x001E9E6C, OYTB;WOYTB,2
0x00000316,,0x001E9E70;0x001E9E75, PYTB;EPYTB,2
0x00000AE1,,0x001E9E7C,LPYTB,1
0x000003BD,,0x001E9EC1;0x001E9ED5, SYTB;TSYTB,2
0x000000B6,,0x001ED620;0x001ED622, DRUB;BDRUB,2
0x00000160,,0x001ED656;0x001ED65F, FRUB;IFRUB,2
0x000007CA,,0x001ED707,OLRUB,1
0x00000C9B,,0x001ED79F,ERRUB,1
0x00001061,,0x001ED7A0,FRRUB,1
0x00000E12,,0x001ED7E9,YTRUB,1
0x00000810,,0x001ED80B,EVRUB,1
0x00000B4D,,0x001EDAE0,AVSUB,1
0x0000006A,,0x001EDB9C;0x001EDB9D, BTUB;ABTUB,2
0x0000021A,,0x001EDCAA;0x001EDCAF;0x002223DB, LTUB;ELTUB;UCREC,3
0x00000E29,,0x001EDCAB,ALTUB,1
0x00000C01,,0x001EDCE1,ANTUB,1
0x00000CB2,,0x001EDCED,MNTUB,1
0x00000314,,0x001EDD16;0x001EDD22, PTUB;LPTUB,2
0x000001AB,,0x001F4B68;0x001F4B6F, IEWB;GIEWB,2
0x000007EF,,0x001F5388,AEHWB,1
0x00000F33,,0x001F54BF,OPHWB,1
0x00000AA0,,0x001F5659,TDIWB,1
0x00000BC8,,0x001F5AFC,SUJWB,1
0x00001014,,0x001F5F6A,SILWB,1
0x00000B7D,,0x001F7550,IATWB,1
0x00000F3F,,0x001F76EB,OPTWB,1
0x00000001,,0x00206FC4;0x0024F111;0x00253290;0x0025340A,    C;   OC;  WOC; NWOC,4
0x00000071,,0x0020C583;0x0020C588, CCAC;ECCAC,2
0x00000707,,0x0020C58F,LCCAC,1
0x00000DA7,,0x0020C592,OCCAC,1
0x00000A9A,,0x0020C592,OCCAC,1
0x00000908,,0x0020C595,RCCAC,1
0x00000B65,,0x0020C5A3,EDCAC,1
0x00000D51,,0x0020C5B0,RDCAC,1
0x00000E97,,0x0020C5CB,RECAC,1
0x00000DD8,,0x0020C5D1,XECAC,1
0x00000AB2,,0x0020C5D1,XECAC,1
0x00000F59,,0x0020C638,SICAC,1
0x00000868,,0x0020C6A0,OMCAC,1
0x00001036,,0x0020C6DC,UOCAC,1
0x00000AB0,,0x0020C6DC,UOCAC,1
0x00000B94,,0x0020CD78,LXEAC,1
0x000004F9,,0x0020F076,FERAC,1
0x000009B2,,0x0020F1D4,ERRAC,1
0x00000AB6,,0x0020F4C6,CSSAC,1
0x00000F46,,0x0020F4D2,OSSAC,1
0x00000D5E,,0x0020F5C9,SATAC,1
0x00000CC3,,0x0020F5FB,OCTAC,1
0x000000FF,,0x0020F622, ETAC,1
0x00000B13,,0x0020F623,AETAC,1
0x00000E37,,0x0020F625,CETAC,1
0x00000C0A,,0x0020F625,CETAC,1
0x00000D0A,,0x0020F628,FETAC,1
0x00000F19,,0x0020F62F,METAC,1
0x00000854,,0x0020F630,NETAC,1
0x00000DAE,,0x0020F634,RETAC,1
0x00000CCC,,0x0020F634,RETAC,1
0x00000B3A,,0x0020F634,RETAC,1
0x0000087B,,0x0020F634,RETAC,1
0x00000CD0,,0x0020F635,SETAC,1
0x00000BC2,,0x0020F635,SETAC,1
0x00000596,,0x0020F69B,MITAC,1
0x00000FE3,,0x0020F69C,NITAC,1
0x000008EB,,0x0020F73E,NOTAC,1
0x00000D6C,,0x0020F7CE,WTTAC,1
0x00001050,,0x0020F7CF,XTTAC,1
0x0000006E,,0x00210CB4;0x00210CB7, CABC;CCABC,2
0x00000576,,0x00210DB3,LLABC,1
0x0000067B,,0x00210E93,TTABC,1
0x000001DD,,0x00211359;0x0021135A, LCBC;ALCBC,2
0x00000BCF,,0x002113A3,TNCBC,1
0x00000FBE,,0x00211404,IRCBC,1
0x000002E5,,0x00211585;0x0021B33D;0x0021B351,PEDBC; PEDC;TPEDC,3
0x00000FA1,,0x00211910,ELEBC,1
0x00000D48,,0x00211A5D,NXEBC,1
0x00000011,,0x00211AA0,  FBC,1
0x000001B1,,0x00211B93;0x00211B9F, IFBC;LIFBC,2
0x0000025F,,0x00211C1A;0x00211C2F, NFBC;UNFBC,2
0x0000038F,,0x00212BB6;0x00212DB7,  LBC; SLBC,2
0x00000078,,0x00212C07, CLBC,1
0x00000D9A,,0x00212D3B,KNLBC,1
0x00001062,,0x00212DBD,FSLBC,1
0x00000044,,0x00213183;0x00213190, ANBC;MANBC,2
0x000002B2,,0x002132FD;0x0077FB0C, ONBC;DBMUM,2
0x0000040C,,0x0021339F;0x002133AC, UNBC;MUNBC,2
0x000003E1,,0x00213441;0x0021365D;0x00213671,  OBC; TOBC;TTOBC,3
0x00000357,,0x00213900;0x00213909, RPBC;IRPBC,2
0x00000A39,,0x00213D07,EBRBC,1
0x000004FA,,0x00213D59,FERBC,1
0x00000853,,0x00213D61,NERBC,1
0x00000F56,,0x0021403F,SESBC,1
0x00000BC9,,0x00214040,TESBC,1
0x000008B6,,0x0021407D;0x00214086, HSBC;IHSBC,2
0x00001097,,0x002140EE,ELSBC,1
0x00000F00,,0x002140F2,ILSBC,1
0x00000DD3,,0x002141BA,TSSBC,1
0x00000522,,0x002141C1;0x002141C7, TSBC;FTSBC,2
0x00000100,,0x00214305;0x00214313, ETBC;NETBC,2
0x0000045A,,0x00214521;0x00214531, YTBC;PYTBC,2
0x00000E45,,0x0021475D,ESUBC,1
0x000010E2,,0x0021476A,RSUBC,1
0x000005FF,,0x0021485D,RAVBC,1
0x0000102A,,0x00214AB0,SWVBC,1
0x00000FC0,,0x00214CF8,IRWBC,1
0x0000003A,,0x002178B4;0x002178BD, ALCC;IALCC,2
0x00000CFA,,0x00217A16,CNLCC,1
0x000008B2,,0x00217A1B,HNLCC,1
0x00001128,,0x00217A27,TNLCC,1
0x000004CF,,0x00218195,EDOCC,1
0x00000277,,0x0021829E;0x002182AC, NOCC;NNOCC,2
0x00000D58,,0x0021831C,RROCC,1
0x00000471,,0x00218A52,AFRCC,1
0x00000A2C,,0x00218EBD,YTSCC,1
0x00000FC9,,0x00219060,LITCC,1
0x0000010E,,0x0021AF56;0x0021AF57, FDDC;AFDDC,2
0x00000110,,0x0021B22F;0x0021B230, FEDC;AFEDC,2
0x00000172,,0x0021B24A;0x0021B25C, GEDC;RGEDC,2
0x000010ED,,0x0021B25E,TGEDC,1
0x0000037B,,0x0021B38E;0x0021B39E, SEDC;PSEDC,2
0x00000341,,0x0021BED7;0x0021BEDC, RIDC;ERIDC,2
0x00000236,,0x0021CB49;0x0021CB56;0x0021CC8D, ANDC;MANDC; MNDC,3
0x0000113C,,0x0021CCA5,XMNDC,1
0x000006BD,,0x0021CCA5,XMNDC,1
0x000006CB,,0x0021CCA6,YMNDC,1
0x00000441,,0x0021CDB6, XNDC,1
0x00000F4D,,0x0021CFAE,ROODC,1
0x00000359,,0x0021D2C6;0x0021D2D5, RPDC;ORPDC,2
0x00000474,,0x0021D735,AFRDC,1
0x00000B44,,0x0021F451,ALAEC,1
0x00000774,,0x0021F454,DLAEC,1
0x00000D75,,0x0021F97C,AGCEC,1
0x00000869,,0x0021FA2C,OMCEC,1
0x000009CD,,0x0021FA59,FOCEC,1
0x000002DD,,0x0021FA6E;0x0021FA7A, PCEC;LPCEC,2
0x00000D89,,0x0021FAA9,ERCEC,1
0x00001140,,0x0021FAC8,ISCEC,1
0x00000027,,0x00220164;0x00220179, AFEC;UAFEC,2
0x0000102E,,0x00220178,TAFEC,1
0x00000879,,0x002201E2,REFEC,1
0x00000C31,,0x00220230,OHFEC,1
0x00000B2A,,0x0022029B,NLFEC,1
0x00000D31,,0x00220356,LSFEC,1
0x00000B36,,0x0022035A,PSFEC,1
0x00000A61,,0x00221288,NALEC,1
0x00000F7B,,0x002212CC,ADLEC,1
0x00000A80,,0x002212DE,SDLEC,1
0x000002EB,,0x0022140F;0x0022141E, PLEC;OPLEC,2
0x000004DE,,0x00221414;0x00221427,EPLEC;XPLEC,2
0x000005BF,,0x0022141D;0x00221428,NPLEC;YPLEC,2
0x00000689,,0x00221424;0x00221429,UPLEC;ZPLEC,2
0x0000105A,,0x0022147C,ATLEC,1
0x00000C74,,0x0022147C,ATLEC,1
0x00000890,,0x0022147C,ATLEC,1
0x000006BB,,0x00221643,XIMEC,1
0x00001109,,0x00221722,DRMEC,1
0x00000BB6,,0x00221799,OVMEC,1
0x00000398,,0x00221A12;0x00221A1B, SNEC;ISNEC,2
0x0000102F,,0x00221DF2,TAPEC,1
0x00001077,,0x00221E23,OCPEC,1
0x000000AF,,0x00221E2F;0x00221E34, DPEC;EDPEC,2
0x00000852,,0x00221E58,NEPEC,1
0x00000211,,0x00221F07;0x00221F10, LPEC;ILPEC,2
0x00000FEA,,0x00221F81,NPPEC,1
0x0000035C,,0x00221FA9;0x00221FB8, RPEC;ORPEC,2
0x000009AE,,0x00221FAE,ERPEC,1
0x0000054E,,0x00221FE7,HTPEC,1
0x00000E0F,,0x00221FF8,YTPEC,1
0x00000187,,0x002224BE;0x0062F856;0x0062F86A,ELREC; GNEK;TGNEK,3
0x00000691,,0x00222534;0x00222534;0x00260760;0x00260765,OPREC;OPREC;USPRC;ZSPRC,4
0x000005C6,,0x00222534;0x00222534;0x00260759;0x00260764,OPREC;OPREC;NSPRC;YSPRC,4
0x000004EE,,0x00222534;0x00222534;0x00260750;0x00260763,OPREC;OPREC;ESPRC;XSPRC,4
0x000003AD,,0x00222534;0x0026074B,OPREC; SPRC,2
0x00000081,,0x0022269F;0x002226B1, CSEC;RCSEC,2
0x00000B41,,0x002226A0,ACSEC,1
0x000008CB,,0x002226E1,LESEC,1
0x00000D08,,0x00222710,EGSEC,1
0x00000B30,,0x002227A0,NLSEC,1
0x000007CB,,0x002227A1,OLSEC,1
0x0000086F,,0x002227BC,OMSEC,1
0x00000300,,0x002227FE;0x002227FF, PSEC;APSEC,2
0x000009B6,,0x00222839,ERSEC,1
0x000003ED,,0x0022286A, TSEC,1
0x00000B5F,,0x002228D9,CXSEC,1
0x0000005A,,0x00222927;0x00222942;0x0022294B,  TEC; ATEC;IATEC,3
0x00000368,,0x00222B0D;0x00222B12, RTEC;ERTEC,2
0x000007F2,,0x002244AF,ARBFC,1
